Date,^GSPC,^FTSE,^SBF250,^TOPX,^GSPTSE
1968-08-15,98.06999969482422,,,,
1968-08-16,98.68000030517578,,,,
1968-08-19,99.0,,,,
1968-08-20,98.95999908447266,,,,
1968-08-22,98.69999694824219,,,,
1968-08-23,98.69000244140625,,,,
1968-08-26,98.94000244140625,,,,
1968-08-27,98.80999755859375,,,,
1968-08-29,98.73999786376953,,,,
1968-08-30,98.86000061035156,,,,
1968-09-03,99.31999969482422,,,,
1968-09-04,100.0199966430664,,,,
1968-09-05,100.73999786376953,,,,
1968-09-06,101.19999694824219,,,,
1968-09-09,101.2300033569336,,,,
1968-09-10,100.7300033569336,,,,
1968-09-12,100.5199966430664,,,,
1968-09-13,100.86000061035156,,,,
1968-09-16,101.23999786376953,,,,
1968-09-17,101.5,,,,
1968-09-19,101.58999633789062,,,,
